Review_ID,App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity,App_ID
1,"10 best foods for you","I like eat delicious food. That's I'm cooking food myself, case "10 Best Foods" helps lot, also "Best Before (Shelf Life)"",Positive,1,0.533333,1143
2,"10 best foods for you","This help eating healthy exercise regular basis",Positive,0.25,0.288462,1143
3,"10 best foods for you",nan,Neutral,NULL,NULL,1143
4,"10 best foods for you","Works great especially going grocery store",Positive,0.4,0.875,1143
5,"10 best foods for you","Best idea us",Positive,1,0.3,1143
6,"10 best foods for you","Best way",Positive,1,0.3,1143
7,"10 best foods for you",Amazing,Positive,0.6,0.9,1143
8,"10 best foods for you",nan,Neutral,NULL,NULL,1143
9,"10 best foods for you","Looking forward app,",Neutral,NULL,NULL,1143
10,"10 best foods for you","It helpful site ! It help foods get !",Neutral,NULL,NULL,1143
11,"10 best foods for you","good you.",Positive,0.7,0.6,1143
12,"10 best foods for you","Useful information The amount spelling errors questions validity information shared. Once fixed, 5 stars given.",Positive,0.2,0.1,1143
13,"10 best foods for you","Thank you! Great app!! Add arthritis, eyes, immunity, kidney/liver detox foods please. :)",Positive,0.75,0.875,1143
14,"10 best foods for you","Greatest ever Completely awesome maintain health.... This must ppl there... Love it!!!",Positive,0.992188,0.866667,1143
15,"10 best foods for you","Good health...... Good health first priority.......",Positive,0.55,0.511111,1143
16,"10 best foods for you",nan,Neutral,NULL,NULL,1143
17,"10 best foods for you","Health It's important world either life . think? :)",Positive,0.45,1,1143
18,"10 best foods for you","Mrs sunita bhati I thankful developers,to make kind app, really good healthy food body",Positive,0.6,0.666667,1143
19,"10 best foods for you","Very Useful in diabetes age 30. I need control sugar. thanks",Positive,0.295,0.1,1143
20,"10 best foods for you","One greatest apps.",Positive,1,1,1143
21,"10 best foods for you","good nice",Positive,0.65,0.8,1143
22,"10 best foods for you","Healthy Really helped",Positive,0.35,0.35,1143
23,"10 best foods for you","God health",Neutral,NULL,NULL,1143
24,"10 best foods for you","HEALTH SHOULD ALWAYS BE TOP PRIORITY. !!. ON MYSG5.",Positive,0.78125,0.5,1143
25,"10 best foods for you","An excellent A useful",Positive,0.65,0.5,1143
26,"10 best foods for you","I found lot wealth form health...",Neutral,NULL,NULL,1143
27,"10 best foods for you","Because I found important.",Positive,0.4,1,1143
28,"10 best foods for you","Healthy Eating",Positive,0.5,0.5,1143
29,"10 best foods for you","Very good Simply good",Positive,0.805,0.69,1143
30,"10 best foods for you","On test....",Neutral,NULL,NULL,1143
31,"10 best foods for you",Good.!!,Positive,1,0.6,1143
32,"10 best foods for you","Thanks advice. Downloaded Adobe reader still can't get recipe book?..",Positive,0.2,0.2,1143
33,"10 best foods for you","No recipe book Unable recipe book.",Negative,-0.5,0.5,1143
34,"10 best foods for you","Absolutely Fabulous Phenomenal",Positive,0.45,0.75,1143
35,"10 best foods for you","Great Love food",Positive,0.65,0.675,1143
36,"10 best foods for you","Excellent It really works",Positive,0.6,0.6,1143
37,"10 best foods for you",Best,Positive,1,0.3,1143
38,"10 best foods for you","WEALTH OF INFORMATION Very informative ... easy understand. (The ads middle page interupted read). Update: My "ad comment" NOT objection ads, literally position ads. Smack dab MIDDLE. I new spartphones & apps. Didnt know NOT Click eveything I saw... But, ... Full Review",Positive,0.186616,0.356313,1143
39,"10 best foods for you","Not description good",Positive,0.7,0.6,1143
40,"10 best foods for you","Great app. Love",Positive,0.65,0.675,1143
41,"10 best foods for you",Good,Positive,0.7,0.6,1143
42,"10 best foods for you","Loved Very helpful",Positive,0.45,0.55,1143
43,"10 best foods for you","Good healthy foods.",Positive,0.6,0.55,1143
44,"10 best foods for you","Waste time It needs internet time n ask calls information",Negative,-0.2,NULL,1143
45,"10 best foods for you","Best thing I lost ten lbs. two months help tips",Positive,0.5,0.15,1143
46,"10 best foods for you","Ten best food promote good health Good health essential long healthy lifestyle make habit eat foods promote good health. Eat fruits veggies every day.",Positive,0.44375,0.4125,1143
47,"10 best foods for you","Healthy Food Really good information eat healthy",Positive,0.566667,0.533333,1143
48,"10 best foods for you","My mom dad important thing This good share",Positive,0.55,0.8,1143
49,"10 best foods for you","A big thanks ds I got bst gd health",Positive,0.1,0.15,1143
50,"10 best foods for you","Lovely Best everyone needs",Positive,0.75,0.525,1143
51,"10 best foods for you","Love It I lost 6Pounds far 215 209",Positive,0.3,0.8,1143
52,"10 best foods for you","I like",Neutral,NULL,NULL,1143
53,"10 best foods for you","Thanks helpful app.",Positive,0.2,0.2,1143
54,"10 best foods for you","good food really good eat",Positive,0.7,0.6,1143
55,"10 best foods for you","Thanks Thank u much",Positive,0.2,0.2,1143
56,"10 best foods for you","Love This really good",Positive,0.6,0.6,1143
57,"10 best foods for you","This helpful",Neutral,NULL,NULL,1143
58,"10 best foods for you","I love",Positive,0.5,0.6,1143
59,"10 best foods for you","Very useful",Positive,0.39,NULL,1143
60,"10 best foods for you","Great Love",Positive,0.65,0.675,1143
61,"10 best foods for you","Very informative",Positive,0.2,0.3,1143
62,"10 best foods for you",Luv,Neutral,NULL,NULL,1143
63,"10 best foods for you",great,Positive,0.8,0.75,1143
64,"10 best foods for you",Wonderful,Positive,1,1,1143
65,"10 best foods for you","Doesn't work... Zero",Neutral,NULL,NULL,1143
66,"10 best foods for you","Weight loss Not bad",Positive,0.35,0.666667,1143
67,"10 best foods for you","10 best foods 4u Excellent chose foods",Positive,1,0.65,1143
68,"10 best foods for you","This needed most.",Positive,0.5,0.5,1143
69,"10 best foods for you","Faltu plz waste ur time",Negative,-0.2,NULL,1143
70,"10 best foods for you","Best food Thank you recipe book",Positive,1,0.3,1143
71,"10 best foods for you","I Love Good",Positive,0.6,0.6,1143
72,"10 best foods for you","I like Superb",Positive,1,1,1143
73,"10 best foods for you","Good V good",Positive,0.7,0.6,1143
74,"10 best foods for you",Healthy,Positive,0.5,0.5,1143
75,"10 best foods for you","Quick Read.",Positive,0.333333,0.5,1143
76,"10 best foods for you","Great ideas",Positive,0.8,0.75,1143
77,"10 best foods for you","Too good",Positive,0.7,0.6,1143
78,"10 best foods for you",Cool.,Positive,0.35,0.65,1143
79,"10 best foods for you",Good,Positive,0.7,0.6,1143
80,"10 best foods for you",Good,Positive,0.7,0.6,1143
81,"10 best foods for you","Best Best",Positive,1,0.3,1143
82,"10 best foods for you","Great Great",Positive,0.8,0.75,1143
83,"10 best foods for you","Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1,0.833333,1143
84,"10 best foods for you","Great wife. My wife enjoy much. She's kinda person like follow health diet... She's spending much time front PC find appropriate diet food her. Now found magnificent app! Thank you! Thumbs up.",Positive,0.516667,0.525,1143
85,"10 best foods for you","Great! Very interesting useful application. I like it!",Positive,0.675,0.466667,1143
86,"10 best foods for you","Crap Doesn't work",Negative,-0.8,0.8,1143
87,"10 best foods for you","This 5 starr Download",Neutral,NULL,NULL,1143
88,"10 best foods for you","I like Was helpful",Neutral,NULL,NULL,1143
89,"10 best foods for you","nice super get",Positive,0.466667,0.833333,1143
90,"10 best foods for you","Nice Nice collection",Positive,0.6,1,1143
91,"10 best foods for you",Wow,Positive,0.1,1,1143
92,"10 best foods for you","Interesting. It interesting info, I think worth storage space phone. I'd rather research computer print list. Neat idea, make life easier, provide entertainment, I expect app.",Positive,0.433333,0.366667,1143
93,"10 best foods for you","Luv it! Simple, easy understand, well thought I follow step step problems see results. I also luv apps, gives food choices. But looks like foundation. Keep good work!",Positive,0.436111,0.596825,1143
94,"10 best foods for you","Not good Its good u net connection u can't play app.so much good.",Positive,0.2625,0.45,1143
95,"10 best foods for you","Awesome resources I begin new journey. I can't see great results!",Positive,0.712121,0.734848,1143
96,"10 best foods for you","Boring. I thought actually just texts that's it. Too poor old texts....",Negative,-0.325,0.475,1143
97,"10 best foods for you","Love app. It gives way good idea I buying store eating daily basis",Positive,0.4,0.4,1143
98,"10 best foods for you","Great Its really best unique provides detailed information food nutritious staying healthy hats developer giving free.",Positive,0.579167,0.683333,1143
99,"10 best foods for you","Nothing special! Could find anything useful!",Positive,0.410714,0.285714,1143
100,"10 best foods for you","Its ok I love ok.",Positive,0.5,0.533333,1143
101,"10 best foods for you","I like eat delicious food. That's I'm cooking food myself, case "10 Best Foods" helps lot, also "Best Before (Shelf Life)"",Positive,1,0.533333,1143
102,"10 best foods for you","This help eating healthy exercise regular basis",Positive,0.25,0.288462,1143
103,"10 best foods for you",nan,Neutral,NULL,NULL,1143
104,"10 best foods for you","Works great especially going grocery store",Positive,0.4,0.875,1143
105,"10 best foods for you","Best idea us",Positive,1,0.3,1143
106,"10 best foods for you","Best way",Positive,1,0.3,1143
107,"10 best foods for you",Amazing,Positive,0.6,0.9,1143
108,"10 best foods for you",nan,Neutral,NULL,NULL,1143
109,"10 best foods for you","Looking forward app,",Neutral,NULL,NULL,1143
110,"10 best foods for you","It helpful site ! It help foods get !",Neutral,NULL,NULL,1143
111,"10 best foods for you","good you.",Positive,0.7,0.6,1143
